m,k_LDA,refinement_score
K1,1,2.9908972440322662e-6
K2,1,3.0100225931586756e-6
K2,2,2.9715345471992098e-6
K3,1,5.976062435610721e-6
K3,2,6.1253443575455454e-6
K3,3,5.832511763715826e-6
K4,1,1.7383815740093386e-5
K4,2,1.837691863125747e-5
K4,3,1.7872334656939253e-5
K4,4,1.8070807693265848e-5
K5,1,6.987611114323433e-5
K5,2,7.178557851801987e-5
K5,3,7.200882906195145e-5
K5,4,6.984642961893453e-5
K5,5,7.471522118562612e-5
K6,1,3.815279987699644e-4
K6,2,3.521936622167151e-4
K6,3,3.333841361581476e-4
K6,4,3.7942161968274903e-4
K6,5,3.4977287935543497e-4
K6,6,3.399523399547807e-4
K7,1,0.0021901632072795106
K7,2,0.001976286839313772
K7,3,0.0020393615725384177
K7,4,0.002240375429587069
K7,5,0.002210065571020032
K7,6,0.002003506907115182
K7,7,0.0021284484713089678
K8,1,0.013697655324743995
K8,2,0.01429080848202076
K8,3,0.014480499060439515
K8,4,0.015723365682282026
K8,5,0.014584384085164446
K8,6,0.01439111174328587
K8,7,0.015001057158454753
K8,8,0.014430686318810795
K9,1,0.11040181236670496
K9,2,0.1178514628117334
K9,3,0.11244477387167735
K9,4,0.10998776742419034
K9,5,0.12753819870420938
K9,6,0.11227947800434535
K9,7,0.11499037201605519
K9,8,0.11911484906967285
K9,9,0.1070176623419414
K10,1,1
K10,2,1
K10,3,1
K10,4,1
K10,5,1
K10,6,1
K10,7,1
K10,8,1
K10,9,1
K10,10,1
